date,category,title,amount
2020-09-19,,"IOF de ""Steamgames.Com""",0.93
2020-09-28,,"IOF de ""Steamgames.Com""",0.66
2020-09-29,,"IOF de ""Steam Purchase""",11.2
2020-06-17,,"IOF de ""Steamgames.Com""",4.56
2020-07-06,,"IOF de ""Steamgames.Com""",2.15
2020-07-07,,"IOF de ""Steamgames.Com""",0.67
2020-08-01,,"IOF de ""Steamgames.Com""",3.96
2020-08-08,,"IOF de ""Ding""",10.66
2020-09-02,,"IOF de ""Steamgames.Com""",7.62
2020-11-04,,"IOF de ""Mihoyo Limited""",3.66
2020-11-10,,"IOF de ""Steam Purchase""",5.32
2020-11-11,,"IOF de ""Steamgames.Com""",1.65
