date,category,title,amount
2020-09-10,,Pagamento recebido,-330.05
2020-09-18,,Pagamento recebido,-700
2020-09-28,,Pagamento recebido,-200
2020-06-10,,Pagamento recebido,-203.44
2020-07-10,,Pagamento recebido,-362.18
2020-07-24,,Pagamento recebido,-200
2020-08-10,,Pagamento recebido,-269.15
2020-08-17,,Pagamento recebido,-800
2020-08-24,,Pagamento recebido,-200
2020-08-31,,Pagamento recebido,-100
2020-11-03,,Pagamento recebido,-200
2020-11-10,,Pagamento recebido,-166.1
2020-11-23,,"Estorno de ""Microsoft*Store""",-1
2020-11-30,,Pagamento recebido,-100
2020-10-13,,Pagamento recebido,-273.54
