date,category,title,amount
2020-09-03,serviços,Crunchyroll,25
2020-09-03,serviços,Pag*Hannaferreiratatu 2/2,783.82
2020-09-03,serviços,Netflix.Com,32.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-12,serviços,Dl *Google Niantic,1.9
2020-09-12,serviços,Google Niantic Inc,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-16,serviços,Dl *Google Niantic,1.9
2020-09-19,serviços,Google Niantic Inc,1.9
2020-09-19,serviços,Steamgames.Com,14.6
2020-09-21,serviços,Ebanx*Spotify,16.9
2020-09-21,serviços,Google Niantic Inc,1.9
2020-09-28,serviços,Google Niantic Inc,1.9
2020-09-28,serviços,Steamgames.Com,10.42
2020-06-03,serviços,Google Team17 Digital,5.49
2020-06-05,serviços,Crunchyroll,25
2020-06-17,serviços,Steamgames.Com,71.49
2020-06-22,serviços,Ebanx*Spotify,16.9
2020-06-22,serviços,Google Tinder,29.99
2020-07-04,serviços,Netflix.Com,32.9
2020-07-06,serviços,Crunchyroll,25
2020-07-06,serviços,Steamgames.Com,33.75
2020-07-21,serviços,Ebanx*Spotify,16.9
2020-07-22,serviços,Servicos Cla*219687224,30
2020-07-30,serviços,Google Epsxe,9.47
2020-08-01,serviços,Steamgames.Com,62
2020-08-01,serviços,Google Niantic Inc,1.9
2020-08-03,serviços,Netflix.Com,32.9
2020-08-03,serviços,Google Niantic Inc,18.9
2020-08-04,serviços,Crunchyroll,25
2020-08-04,serviços,Google Niantic Inc,1.9
2020-08-06,serviços,Google Niantic Inc,1.9
2020-08-08,serviços,Ding,167.1
2020-08-14,serviços,Pag*Hannaferreiratatu 1/2,783.83
2020-08-21,serviços,Ebanx*Spotify,16.9
2020-08-24,serviços,Servicos Cla*219687224,30
2020-09-02,serviços,Steamgames.Com,119.44
2020-11-04,serviços,Mihoyo Limited,57.39
2020-11-10,serviços,Steam Purchase,83.35
2020-11-11,serviços,Steamgames.Com,25.87
2020-11-21,serviços,Ebanx Spotify,16.9
2020-11-23,serviços,Servicos Cla*219687224,30
2020-12-02,serviços,Dm *Crunchyroll,25
2020-10-03,serviços,Netflix.Com,32.9
2020-10-03,serviços,Crunchyroll,25
2020-10-16,serviços,Mdm Comercio*Lojajolte,189
2020-10-21,serviços,Ebanx*Spotify,16.9
2020-10-26,serviços,Dl *Google Niantic Inc,1.9
2020-10-31,serviços,Microsoft*Store,1
2020-11-02,serviços,Crunchyroll,25
