date,category,title,amount
2020-09-28,transporte,99* Pop 27set 18h45min,10.62
2020-06-22,transporte,Uberbr Uber Trip Help.,14.54
2020-06-29,transporte,99* Pop 28jun 11h35min,26.86
2020-06-29,transporte,99* Pop 27jun 17h56min,27.88
2020-08-14,transporte,99* Pop 13ago 09h01min,17.6
2020-08-15,transporte,Uberbr Uber Trip Help.,20.26
2020-08-24,transporte,99* Pop 23ago 01h29min,101.74
2020-08-24,transporte,99* Pop 22ago 19h10min,9.9
2020-11-04,transporte,99* Pop 03nov 14h28min,7.9
2020-11-04,transporte,99* Pop 03nov 13h57min,8.7
2020-11-14,transporte,99* Pop 13nov 11h20min,12.8
2020-11-14,transporte,99* Pop 13nov 10h57min,14.4
2020-11-23,transporte,Uberbr Uber * Pending,7.28
2020-11-23,transporte,99 *99* Pop 21nov 16h0,9.8
2020-11-24,transporte,Uberbr Uber * Pending,25.75
2020-11-24,transporte,Uberbr Uber * Pending,25.44
2020-10-03,transporte,99* Pop 02out 10h28min,11.1
2020-10-24,transporte,99* Pop 23out 17h12min,13.92
2020-10-26,transporte,99* Pop 24out 18h38min,20.8
