date,category,title,amount
2020-11-03,,Pagamento recebido,-200
2020-11-04,transporte,99* Pop 03nov 14h28min,7.9
2020-11-04,serviços,Mihoyo Limited,57.39
2020-11-04,transporte,99* Pop 03nov 13h57min,8.7
2020-11-04,,IOF de "Mihoyo Limited",3.66
2020-11-10,serviços,Steam Purchase,83.35
2020-11-10,,Pagamento recebido,-166.1
2020-11-10,,IOF de "Steam Purchase",5.32
2020-11-11,,IOF de "Steamgames.Com",1.65
2020-11-11,serviços,Steamgames.Com,25.87
2020-11-14,transporte,99* Pop 13nov 11h20min,12.8
2020-11-14,transporte,99* Pop 13nov 10h57min,14.4
2020-11-20,lazer,Pag*Boacompra,19.9
2020-11-20,lazer,Pag*Boacompra,15.8
2020-11-21,serviços,Ebanx Spotify,16.9
2020-11-23,,Estorno de "Microsoft*Store",-1
2020-11-23,transporte,Uberbr Uber * Pending,7.28
2020-11-23,transporte,99 *99* Pop 21nov 16h0,9.8
2020-11-23,serviços,Servicos Cla*219687224,30
2020-11-24,transporte,Uberbr Uber * Pending,25.75
2020-11-24,transporte,Uberbr Uber * Pending,25.44
2020-11-27,lazer,Pag*Boacompra,7.9
2020-11-30,lazer,Pag*Boacompra,7.9
2020-11-30,,Pagamento recebido,-100
2020-11-30,outros,Google Tinder,29.99
2020-12-02,serviços,Dm *Crunchyroll,25
